seq,sqcand,n,nm,cc,nv,e,st,dvt,vap,pvap,turno,totalizacao_final,uf
2,220000684149,11,CRISPIN,PP - PP / PODE / DEM / PSB / PSDB / PROS / PTB,JAIR TOPCAR,n,Não eleito,Válido,3420,"  27,98",1,s,ro
5,220000770680,77,RONES MESQUITA,SOLIDARIEDADE,EDINALVA MOREIRA,n,Não eleito,Válido,332,"   2,72",1,s,ro
2,220001076561,12,DR WELISON NUNES,PDT - REPUBLICANOS / PDT / PSL,TAMANINHO,n,Não eleito,Válido,3389,"  28,41",1,s,ro
3,220001243084,15,DR ALEXANDRE  NOGUEIRA,MDB,SANDRINHO,n,Não eleito,Válido,3143,"  26,35",1,s,ro
1,220000636214,25,MARCÉLIO BRASILEIRO,DEM - DEM / PODE / PT / PP / PSD / PSB / PSDB,SÉRGIO BERMOND,s,Eleito,Válido,4326,"  36,27",1,s,ro
4,220001141214,77,NATÃ FELICIANO DO SIND RURAL,SOLIDARIEDADE,MARCOS DA PSICULTURA,n,Não eleito,Válido,1070,"   8,97",1,s,ro
3,220000745320,25,RANIERY,DEM - PP / DEM / PSDB / PROS,OSMAR,n,Não eleito,Válido,1951,"  23,79",1,s,ro
1,220000992741,43,VANDERLEI CASA BELA,PV - PSD / PV / PT,KATIANA DO LABORATÓRIO,s,Eleito,Válido,3136,"  38,24",1,s,ro
2,220000640723,19,JAIR LUIZ,PODE - MDB / PODE,DANIEL DUARTE,n,Não eleito,Válido,3113,"  37,96",1,s,ro
3,220001114404,40, MARCOS AURELIO ,PSB - PT / PSB,JUAREZ COLETA DE SOUZA ,n,Não eleito,Válido,785,"  12,98",1,s,ro
1,220001064312,25,DENA,DEM - DEM / PODE,EDILSON DOS SANTOS,s,Eleito,Válido,2682,"  44,34",1,s,ro
2,220000986873,45,JUNIOR MATT,PSDB - PSDB / PATRIOTA / PL,WANDERLEY,n,Não eleito,Válido,2246,"  37,13",1,s,ro
4,220000655097,12,JAIME DA MATA,PDT,PROF JOCIEL,n,Não eleito,Válido,336,"   5,55",1,s,ro
4,220001235758,10,ÉRICA CASARIN,REPUBLICANOS - REPUBLICANOS / PT,BETA,n,Não eleito,Válido,1331,"  15,94",1,s,ro
1,220000938273,25,JOÃO PAVAN,DEM - DEM / PSB / PSL,EVERALDO GABALDO,s,Eleito,Válido,2723,"  32,61",1,s,ro
5,220000679582,20,DRA NADIR DIODATO,PSC,ROSANGELA VEIGA,n,Não eleito,Válido,800,"   9,58",1,s,ro
2,220000840718,11,MARCOS FROES,PP - PSDB / PP,GERSON SOUZA,n,Não eleito,Válido,1794,"  21,48",1,s,ro
3,220000799167,12,HELMA AMORIM,PDT - PDT / MDB,GEROALDO DA 95,n,Não eleito,Válido,1703,"  20,39",1,s,ro
4,220000808314,19,HELTHON VAGNO,PODE,PASTOR ALDAIR ,n,Não eleito,Válido,610,"   4,36",1,s,ro
2,220001200616,77,DICO,SOLIDARIEDADE - SOLIDARIEDADE / MDB,JOSE NELSON,n,Não eleito,Válido,5287,"  37,79",1,s,ro
1,220001217929,12,RONI IRMÃOZINHO,PDT - PDT / PROS,JOABE,s,Eleito,Válido,6542,"  46,77",1,s,ro
5,220001061139,14,NILSON DA BURITIS TRANSPORTES,PTB - PTB / PSDB,ODAIR MECANICO ,n,Não eleito,Válido,377,"   2,69",1,s,ro
3,220000989369,51,PROFESSOR EVANILDO,PATRIOTA - PSL / PATRIOTA,ADENIR EFFGEN,n,Não eleito,Válido,1173,"   8,39",1,s,ro
2,220000881839,55,KLEBER FERMINO,PSD - PTB / PSDB / PMN / DEM / PL / PODE / PSD,NARA SIMONE,n,Não eleito,Válido,1496,"  29,18",1,s,ro
1,220000881520,15,PROF CLEITON CHEREGATTO,MDB - MDB / PSB / PSL,RONALDO DELAZARI,s,Eleito,Válido,3630,"  70,82",1,s,ro
3,220000661796,55,NEUZINHA,PSD - PSDB / PSD,VALMOR MACIEL,n,Não eleito,Válido,805,"  26,82",1,s,ro
