seq,sqcand,n,nm,cc,nv,e,st,dvt,vap,pvap,turno,totalizacao_final,uf
3,220000726899,25,LUTERO PARAISO,DEM,ISRAEL,n,Não eleito,Válido,394,"  15,07",1,s,ro
4,220001065610,43,JUCILEIDE,PV - PSDB / PV,BAIANO,n,Não eleito,Válido,228,"  14,40",1,s,ro
1,220001198452,11,VALERIA GARCIA,PP - PP / PDT,MOIZES PENHA,s,Eleito,Válido,598,"  37,78",1,s,ro
2,220001199424,25,DÔRA,DEM - DEM / PSL,JORGE DO HOMERO,n,Não eleito,Válido,499,"  31,52",1,s,ro
3,220001143135,40,CLÁUDIO DO GÁS,PSB,CLAUDOIR JOSE NENO,n,Não eleito,Válido,258,"  16,30",1,s,ro
1,220000851296,10,EDUARDO BERTOLETTI,REPUBLICANOS - REPUBLICANOS / PP / PDT,MARQUINHOS DA SAUDE,s,Eleito,Válido,1227,"  59,51",1,s,ro
2,220000927942,55,ENFERMEIRA CONCEIÇÃO,PSD,IZABEL FERREIRA,n,Não eleito,Válido,835,"  40,49",1,s,ro
1,220000932382,55,NEY DA PAIOL,PSD - PSB / PSD / PDT / DEM,EDINHO DA FA,s,Eleito,Válido,1654,"  47,24",1,s,ro
2,220000782013,15,ZE LUIZ,MDB - MDB / PT,PROFESSOR FRANCISCO,n,Não eleito,Válido,1347,"  38,47",1,s,ro
3,220001179875,22,MARCIO FERREIRA,PL - PTB / PL,VALDILEI SERGIO,n,Não eleito,Válido,500,"  14,28",1,s,ro
3,220000926418,40,SAMUEL CAVALCANTE,PSB,LUIZ LOUCUTOR,n,Não eleito,Válido,1362,"  15,38",1,s,ro
1,220000638851,15,TINOCO,MDB - MDB / DEM,JIAME DO MERCADO,s,Eleito,Válido,4633,"  52,31",1,s,ro
4,220000775193,77,GESSI ROCHA,SOLIDARIEDADE,DR ROGERIO,n,Não eleito,Válido,432,"   4,88",1,s,ro
2,220000926523,12,ABRÃO PAULINO,PDT - PDT / PSD,ELIAS DO TININ,n,Não eleito,Válido,2429,"  27,43",1,s,ro
2,220001036671,40,PAULO CESAR BASILIO,PSB - PSB / PP,EVANDRO CANCIAN,n,Não eleito,Válido,1889,"  26,11",1,s,ro
5,220000769690,13,MARCELO,PT,HEIDER DO SINDICATO,n,Não eleito,Válido,270,"   3,73",1,s,ro
